--- Model Debug Log ---
Model: models/embedding-gecko-001, Methods: []
Model: models/gemini-2.5-flash, Methods: []
Model: models/gemini-2.5-pro, Methods: []
Model: models/gemini-2.0-flash-exp, Methods: []
Model: models/gemini-2.0-flash, Methods: []
Model: models/gemini-2.0-flash-001, Methods: []
Model: models/gemini-2.0-flash-exp-image-generation, Methods: []
Model: models/gemini-2.0-flash-lite-001, Methods: []
Model: models/gemini-2.0-flash-lite, Methods: []
Model: models/gemini-2.0-flash-lite-preview-02-05, Methods: []
Model: models/gemini-2.0-flash-lite-preview, Methods: []
Model: models/gemini-2.0-pro-exp, Methods: []
Model: models/gemini-2.0-pro-exp-02-05, Methods: []
Model: models/gemini-exp-1206, Methods: []
Model: models/gemini-2.5-flash-preview-tts, Methods: []
Model: models/gemini-2.5-pro-preview-tts, Methods: []
Model: models/learnlm-2.0-flash-experimental, Methods: []
Model: models/gemma-3-1b-it, Methods: []
Model: models/gemma-3-4b-it, Methods: []
Model: models/gemma-3-12b-it, Methods: []
Model: models/gemma-3-27b-it, Methods: []
Model: models/gemma-3n-e4b-it, Methods: []
Model: models/gemma-3n-e2b-it, Methods: []
Model: models/gemini-flash-latest, Methods: []
Model: models/gemini-flash-lite-latest, Methods: []
Model: models/gemini-pro-latest, Methods: []
Model: models/gemini-2.5-flash-lite, Methods: []
Model: models/gemini-2.5-flash-image-preview, Methods: []
Model: models/gemini-2.5-flash-image, Methods: []
Model: models/gemini-2.5-flash-preview-09-2025, Methods: []
Model: models/gemini-2.5-flash-lite-preview-09-2025, Methods: []
Model: models/gemini-3-pro-preview, Methods: []
Model: models/gemini-3-pro-image-preview, Methods: []
Model: models/nano-banana-pro-preview, Methods: []
Model: models/gemini-robotics-er-1.5-preview, Methods: []
Model: models/gemini-2.5-computer-use-preview-10-2025, Methods: []
Model: models/embedding-001, Methods: []
Model: models/text-embedding-004, Methods: []
Model: models/gemini-embedding-exp-03-07, Methods: []
Model: models/gemini-embedding-exp, Methods: []
Model: models/gemini-embedding-001, Methods: []
Model: models/aqa, Methods: []
Model: models/imagen-4.0-generate-preview-06-06, Methods: []
Model: models/imagen-4.0-ultra-generate-preview-06-06, Methods: []
Model: models/imagen-4.0-generate-001, Methods: []
Model: models/imagen-4.0-ultra-generate-001, Methods: []
Model: models/imagen-4.0-fast-generate-001, Methods: []
Model: models/veo-2.0-generate-001, Methods: []
Model: models/veo-3.0-generate-001, Methods: []
Model: models/veo-3.0-fast-generate-001, Methods: []
Model: models/veo-3.1-generate-preview, Methods: []
Model: models/veo-3.1-fast-generate-preview, Methods: []
Model: models/gemini-2.0-flash-live-001, Methods: []
Model: models/gemini-live-2.5-flash-preview, Methods: []
Model: models/gemini-2.5-flash-live-preview, Methods: []
Model: models/gemini-2.5-flash-native-audio-latest, Methods: []
Model: models/gemini-2.5-flash-native-audio-preview-09-2025, Methods: []
